 	분류	타입1	타입2	타입3	위력	명중	대상	우선도	접촉 여부	효과	태그1	태그2	태그3	태그4	공격자 능력치	방어자 능력치	타입 순서
어둠의회랑	특수	고스트			150	100	단일	＋2	×	「유턴」 기술．			유턴		특공	특방	14
영법사	변화	고스트			－	－	자신	±0	×	HP를 1/4만큼 지불하고，자진을 「대타출동」 상태로 한다．					－	－	14
영체개조	특수	고스트			70	100	단일	＋1	×	내보낼 때，상대의 타입을 「고스트」로 변경한다．		타입변경			특공	특방	14
오니죽이기	물리	고스트			130	－	단일	±0	×	상대가 「고스트」 타입이 아니면 실패한다．		필중			공격	방어	14
원념	변화	고스트			－	－	단일	±0	×	자신을 「원념」 상태로 한다．					－	－	14
원한	변화	고스트			－	－	단일	±0	×	상대가 마지막으로 사용한 기술에 원한을 품어 그 기술의 PP를 4만큼 줄인다．					－	－	14
유체이탈	특수	고스트			70	100	단일	±0	×	「유턴」 기술．			유턴		특공	특방	14
음양탄	특수	고스트	페어리		130	85	단일	±0	×	「고스트」「페어리」 타입 중 유리한 타입 상성으로 대미지를 계산한다．		복합타입			특공	특방	14
이상한빛	변화	고스트			－	100	단일	±0	×	상대를 「혼란」 상태로 한다．					－	－	14
저주	변화	고스트			－	－	단일	±0	×	HP를 1/2만큼 지불하고，상대를 「저주」 상태로 한다．					－	－	14
저주꼬리	물리	고스트			80	－	단일	±0	○	「2할：저주」					공격	방어	14
저주의무덤	변화	고스트			－	－	적진	±0	×	자신을 「빈사」 상태로 하고，상대를 「저주」 상태로 한다．4T 동안 적진에 「저주의무덤」을 설치한다．	설치 자폭				－	－	14
주원	특수	고스트			－	30	단일	±0	×	「일격필살」 기술．	일격필살				특공	특방	14
죽어줄래？	물리	고스트			－	30	전체	＋1	×	「일격필살」 기술．상대가 「공격」 기술을 내보내지 않으면 실패한다．	일격필살				－	－	14
진혼가	변화	고스트			－	－	단일	±0	×	상대의 「죽음의 카운트」를 「4」로 한다．					－	－	14
짐승의창	물리	고스트			200	100	단일	±0	○	「창」 기술．적진의 「벽」을 해제한 후 기술을 내보낸다．	창	깨트리기			공격	방어	14
천추지한	특수	고스트			60	100	단일	±0	×	상대가 「상태이상」일 때，위력이 강화（2배）된다．「3할：동상」					특공	특방	14
폴터가이스트	물리	고스트			110	90	단일	±0	×	상대에게 「소지품」이 없으면 실패한다．					공격	방어	14
핥기	물리	고스트			30	100	단일	±0	○	「10할：마비」					공격	방어	14
핼러윈	변화	고스트			－	－	단일	±0	×	상대의 타입을 「고스트」로 변경한다．					－	－	14
공간절단	특수	드래곤			100	95	단일	±0	×	급소에 맞기 쉽다（C＋1）．					특공	특방	15
귀신의칼	물리	드래곤			180	－	단일	－3	○	「칼/검」 기술．기술을 내보내기 전에 상대의 공격을 받으면 실패한다．	칼/검	필중			공격	방어	15
다이맥스포	특수	드래곤			100	100	단일	±0	×	상대가 「다이맥스」 중일 때，위력이 강화（2배）된다．					특공	특방	15
대검돌격	물리	드래곤			120	100	단일	±0	○	명중 후，다음 T 상대가 내보내는 기술에 「필중」 효과를 부여하고 위력을 강화（2배）시킨다．					공격	방어	15
더블촙	물리	드래곤			40	90	단일	±0	○	2회 「연속」 기술．		연속			공격	방어	15
드래곤가드	변화	드래곤			－	－	자신	＋3	×	「방어」 기술．「강제교대」 기술．상대의 「공격」 기술을 「방어」한다．「필드에 나온 후 최초」가 아니면 실패한다．	방어	최초	강제교대		－	－	15
드래곤다이브	물리	드래곤			120	75	단일	±0	○	상대가 「작아지기」 상태일 때，위력이 강화（2배）되고 「필중」 효과가 부여된다．「2할：풀죽음」					공격	방어	15
드래곤애로	물리	드래곤			50	100	단일	±0	×	「화살」 기술．2회 「연속」 기술．	화살	연속			공격	방어	15
드래곤에너지（1P）	특수	드래곤			150	100	단일	±0	○	자신의 현재 HP가 적을수록 위력이 약화된다．					특공	특방	15
드래곤에너지（2P）	특수	드래곤			0	100	단일	±0	○	자신의 현재 HP가 적을수록 위력이 약화된다．					특공	특방	15
드래곤클로	물리	드래곤			80	100	단일	±0	○	특수효과 없음．					공격	방어	15
드래곤테일	물리	드래곤			60	90	단일	±0	○	「강제교대」 기술．			강제교대		공격	방어	15
드래곤하울	물리	드래곤			40	－	단일	－7	×	「소리」 기술．「강제교대」 기술．	소리	필중	강제교대		공격	방어	15
드래곤해머	물리	드래곤			90	100	단일	±0	○	특수효과 없음．					공격	방어	15
마가라천포	특수	드래곤			120	－	단일	－7	×	「소리」 기술．「강제교대」 기술．「3할：마비」	소리	필중	강제교대		특공	특방	15
메테오배니시	물리	드래곤			120	100	단일	±0	○	자신과 상대의 「방어」 능력치로 대미지를 계산한다．		변칙계산			방어	방어	15
메테오스트라이크	물리	드래곤			100	95	단일	±0	○	「킥」 기술．급소에 맞기 쉽다（C＋1）．	킥				공격	방어	15
메테오태클	물리	드래곤			120	100	단일	±0	○	준 대미지의 1/3만큼 반동 대미지를 받는다．		반동			공격	방어	15
몸부림치기	물리	드래곤			50	90	전체	±0	×	자진의 「설치물」을 해제한다．		해제			공격	방어	15
무한다이빔	특수	드래곤			160	90	단일	±0	×	명중 후，다음 T 종료 후까지 자신을 「행동불능」 상태로 한다．		행동불능			특공	특방	15
소울비트	변화	드래곤			－	－	자신	±0	×	「소리」 기술．HP를 1/3만큼 지불하고，「전능력치＋1」	소리				－	－	15
스케일노이즈	특수	드래곤			110	100	단일	±0	×	「소리」 기술．명중 후，자신의 「방어－1」	소리				특공	특방	15
스케일샷	물리	드래곤			25	90	단일	±0	×	2～5회 「연속」 기술．「10할：속도＋1」．명중 후，자신의 「방어－1」		연속			공격	방어	15
승리의칼	물리	드래곤			200	－	전체	±0	○	「칼/검」 기술．「추격」 기술．상대가 「임의교대」 도중일 때，위력이 강화（2배）된다．	칼/검	필중	추격		공격	방어	15
시간의포효	특수	드래곤			150	90	단일	±0	×	명중 후，다음 T 종료 후까지 자신을 「행동불능」 상태로 한다．		행동불능			특공	특방	15
역린	물리	드래곤			150	100	단일	±0	○	2T 동안 자신을 「난동부리기」 상태로 한다．		난동부리기			공격	방어	15
와이드브레이커	물리	드래곤			60	100	전체	±0	○	「10할：공격－1」					공격	방어	15
용변신	변화	드래곤			－	－	단일	±0	×	상대의 타입을 「드래곤」으로 변경한다．		타입변경			－	－	15
용성군	특수	드래곤			130	90	단일	±0	×	명중 후，자신의 「특공－2」					특공	특방	15
용의갈고리발톱	물리	드래곤			90	100	단일	±0	○	타입 상성에 의해 무효화되지 않는다．		상성변경			공격	방어	15
용의날개	물리	드래곤			70	100	단일	±0	○	상대보다 먼저 내보낼 때，위력이 강화（2배）된다．					공격	방어	15
용의분노	특수	드래곤			－	100	단일	＋1	×	상대에게 HP의 1/4만큼 고정 대미지를 준다．		고정피해			－	－	15
용의수금	특수	드래곤			120	85	단일	±0	×	「소리」 기술．	소리				특공	특방	15
용의숨결	특수	드래곤			60	100	단일	±0	×	「3할：마비」					특공	특방	15
용의춤	변화	드래곤			－	－	자신	±0	×	「춤」 기술．「공격/속도＋1」	춤				－	－	15
용의카쿠네	물리	드래곤			300	100	전체	±0	○	준 대미지의 1/2만큼 반동 대미지를 받는다．		반동			공격	방어	15
용의파동	특수	드래곤			85	100	단일	±0	×	「파동」 기술．	파동				특공	특방	15
용죽이기	물리	드래곤			130	－	단일	±0	○	상대가 「드래곤」 타입이 아니면 실패한다．		필중			공격	방어	15
울려퍼지는포효	물리	드래곤			80	－	단일	－7	×	「강제교대」 기술．「2할：마비」		필중	강제교대		공격	방어	15
유성권	물리	드래곤			15	100	단일	＋1	×	2～5회 「연속」 기술．		연속			공격	방어	15
천룡포	특수	드래곤			90	－	단일	－3	×	「소리」 기술．「강제교대」 기술．「2할：마비」	소리	필중	강제교대		특공	특방	15
천지삼키기	물리	드래곤			120	90	전체	±0	×	명중 후，전체 필드의 특수한 상태를 해제한다．		해제			공격	방어	15
코어퍼니셔	특수	드래곤			100	100	단일	±0	×	상대보다 나중에 내보낼 때，상대의 〔특성〕을 〔없음〕으로 변경한다．		특성변경			특공	특방	15
티가의포효	물리	드래곤			120	－	단일	－7	×	「소리」 기술．「강제교대」 기술．「3할：마비」	소리	필중	강제교대		공격	방어	15
한판내기	물리	드래곤			80	100	단일	±0	×	〔사령탑〕이 발동한 상태일 때，입 안에 있는 싸리용의 색에 따라 추가효과가 발생한다．					공격	방어	15
혜성	특수	드래곤			40	100	단일	＋1	×	특수효과 없음．					특공	특방	15
회오리	특수	드래곤			40	100	단일	±0	×	「바람」 기술．상대가 「하늘 위」 상태일 때，위력이 강화（2배）된다．「2할：풀죽음」	바람				특공	특방	15
흑룡파	특수	드래곤			200	－	전체	±0	×	「추격」 기술．상대가 「임의교대」 도중일 때，위력이 강화（2배）된다．		필중	추격		특공	특방	15
가로채기	변화	악			－	－	단일	±0	×	상대가 내보내는 「회복」「능력변화」 기술의 대상을 자신으로 변경한다．					－	－	16
거짓울음	변화	악			－	100	단일	±0	×	「특방－2」					－	－	16
검은고양이질주	특수	악	페어리		100	－	단일	±0	×	상대의 「방어」 기술을 관통한다．「악」「페어리」 타입 중 유리한 타입 상성으로 대미지를 계산한다．명중 후，자신의 「방어－1」		방어관통 복합타입 필중			특공	특방	16
고통의배	물리	악			150	－	단일	±0	○	상대가 「조이기」 상태가 아니면 실패한다．명중 후，상대의 「조이기」 상태를 해제한다．		필중			공격	방어	16
금제	변화	악			－	100	단일	±0	×	5T 동안 상대를 「금제」 상태로 한다．					－	－	16
기습	물리	악			70	100	단일	＋1	○	상대가 공격기술을 내보내지 않거나，상대보다 나중에 내보내면 실패한다．					공격	방어	16
기어오르기（1P）	물리	악			20	100	단일	±0	○	자신의 「능력변화：＋」에 비례해 위력이 강화（＋20，최대 860）된다．					공격	방어	16
기어오르기（2P）	물리	악			40	100	단일	±0	○	자신의 「능력변화：＋」에 비례해 위력이 강화（＋20，최대 860）된다．					공격	방어	16
깜짝베기	물리	악			90	100	단일	±0	○	「칼/검」 기술．급소에 맞기 쉽다（C＋1）．	칼/검				공격	방어	16
깨물어부수기	물리	악			80	100	단일	±0	○	「물기/엄니」 기술．「2할： 방어－1」	물기/엄니				공격	방어	16
꼬리말기	물리	악			40	100	단일	＋1	○	「유턴」 기술．			유턴		공격	방어	16
나락의턱	물리	악			150	90	단일	－5	○	「강제교대」 기술．			강제교대		공격	방어	16
나쁜음모	변화	악			－	－	자신	±0	×	「특공＋2」					－	－	16
나이트버스트	특수	악			85	95	단일	±0	×	 「4할：명중－1」					특공	특방	16
나이프투척	물리	악			15	100	단일	＋1	×	2～5회 「연속」 기술．		연속			공격	방어	16
내던지기	물리	악			－	100	단일	±0	×	지니고 있는 「소지품」을 사용해 공격한다．사용한 「소지품」에 따라 위력과 효과가 변화한다．					공격	방어	16
이차원러시	물리	악			100	－	단일	±0	×	상대의 「방어」 기술을 관통한다．명중 후，자신의 「방어－1」		방어관통 필중			공격	방어	16
다크액셀	물리	악			80	100	단일	±0	×	「1할：잠듦」					공격	방어	16
다크홀	변화	악			－	50	전체	±0	×	상대를 「잠듦」 상태로 한다．					－	－	16
덮쳐들기	물리	악			130	85	단일	＋1	○	상대가 공격기술을 내보내지 않으면 실패한다．연속해서 내보내면 실패하기 쉽다．（「방어」 기술과 별도 판정．）					공격	방어	16
데드러시	물리	악			120	100	전체	±0	○	명중 후，자신의 「방어/특방－1」					공격	방어	16
데드엔드	물리	악			－	30	단일	±0	○	「일격필살」 기술．	일격필살				공격	방어	16
도각참	물리	악			85	ㅍ	단일	±0	○	「칼/검」 기술．	칼/검	필중			공격	방어	16
도둑질	물리	악			60	100	단일	±0	○	상대의 「소지품」을 약탈（파괴）한다．					공격	방어	16
도발	변화	악			－	100	단일	±0	×	3T 동안 상대를 「도발」 상태로 한다．					－	－	16
되돌려주기	변화	악			－	－	자신	±0	×	4～5T 동안 자신을 「요격」 상태로 한다．					－	－	16
뒤집어엎기	변화	악			－	100	단일	±0	×	상대의 「능력변화」를 반전한다．					－	－	16
뒷치기	물리	악			120	100	단일	±0	×	자신과 상대의 「속도」 능력치로 대미지를 계산한다．		변칙계산			속도	속도	16
따돌리기	특수	악			120	100	단일	±0	×	자신과 상대의 「속도」 능력치로 대미지를 계산한다．		변칙계산			속도	속도	16
따라가때리기	물리	악			40	100	단일	±0	×	「추격」 기술．상대가 「임의교대」 도중일 때，위력이 강화（2배）된다．			추격		공격	방어	16
떠보기	물리	악			100	85	단일	－3	○	상대의 「방어」 기술을 관통한다．		방어관통			공격	방어	16
로드킬	물리	악			120	100	단일	±0	○	준 대미지의 1/4만큼 반동 대미지를 받는다．		반동			공격	방어	16
막말내뱉기	변화	악			－	100	단일	±0	×	「소리」 기술．「유턴」 기술．상대의 「공격/특공－1」	소리		유턴		－	－	16
망나니도끼	물리	악			150	80	단일	±0	○	준 대미지의 1/2만큼 반동 대미지를 받는다．		반동			공격	방어	16
몰살	물리	악			150	90	단일	±0	○	명중 후，다음 T 종료 후까지 자신을 「행동불능」 상태로 한다．		행동불능			공격	방어	16
물고늘어지기	물리	악			35	85	단일	±0	○	4～5T 동안 상대를 「조이기」 상태로 한다．		조이기			공격	방어	16
물고버티기	물리	악			80	100	단일	±0	○	「물기/엄니」 기술．어느 한 쪽이 「빈사」 상태가 될 때까지 교체할 수 없게 된다．	물기/엄니	검은눈빛			공격	방어	16
물기	물리	악			60	100	단일	±0	○	「물기/엄니」 기술．「3할：풀죽음」	물기/엄니				공격	방어	16
물어뜯기	물리	악			130	100	단일	±0	○	연속해서 내보내면 실패하기 쉽다．（「방어」 기술과 별도 판정．）					공격	방어	16
물어죽이기	물리	악			150	80	단일	±0	○	준 대미지의 1/2만큼 반동 대미지를 받는다．		반동			공격	방어	16
바꿔치기	변화	악			－	100	단일	±0	×	서로의 「소지품」을 뒤바꾼다．「소지품」이 없으면 실패한다．					－	－	16
바이스드레인	특수	악			90	90	단일	±0	○	준 대미지의 1/2만큼 HP를 회복한다．		드레인			특공	특방	16
바크아웃	특수	악			55	95	단일	±0	×	「소리」 기술．「10할：특공－1」	소리				특공	특방	16
벗겨내기	물리	악			50	－	단일	±0	○	명중 후，상대의 「능력변화」를 「초기화」한다．		초기화 필중			공격	방어	16
베어클로	물리	악			－	100	단일	±0	○	상대에게 현재 HP의 1/2만큼 고정 대미지를 준다．		고정피해			－	－	16
보복	물리	악			50	100	단일	±0	○	상대보다 나중에 내보낼 때，위력이 강화（2배）된다．					공격	방어	16
부추기기	변화	악			－	100	단일	±0	×	자신을 「혼란」 상태로 하고，「특공＋1」					－	－	16
분풀이	물리	악			75	100	단일	±0	○	자신에게 「능력변화：－」가 발생했을 때，위력이 강화（2배）된다．					공격	방어	16
블로킹	변화	악			－	－	자신	＋4	×	「방어」 기술．상대의 「공격」 기술을 「방어」한다．연속해서 내보내면 실패하기 쉽다．「접촉」 기술을 무효화했을 때，상대의 「방어－2」	방어				－	－	16
비검천중파	물리	악			65	90	단일	±0	○	「칼/검」 기술．명중 후，적진에 「압정」을 설치한다．	설치 칼/검				공격	방어	16
뺑소니	물리	악			100	85	단일	±0	×	「유턴」 기술．			유턴		공격	방어	16
사죄의찌르기	물리	악			80	－	단일	±0	○	특수효과 없음．		필중			공격	방어	16
산산조각베기	물리	악			25	85	단일	±0	○	2～5회 「연속」 기술．「필드에 나온 후 최초」가 아니면 실패한다．「10할：풀죽음」		연속 최초			공격	방어	16
세차게휘두르기	물리	악			60	100	단일	±0	○	특수효과 없음．					공격	방어	16
속여때리기	물리	악			60	－	단일	±0	○	특수효과 없음．		필중			공격	방어	16
속임수	물리	악			95	100	단일	±0	○	상대의 「공격」 능력치로 대미지를 계산한다．		변칙계산			공격	방어	16
손톱갈기	변화	악			－	－	자신	±0	×	「공격/명중＋1」					－	－	16
순서미루기	변화	악			－	100	단일	±0	×	상대를 「순서미루기」 상태로 한다．					－	－	16
승부굳히기	물리	악			60	100	단일	±0	×	상대의 HP가 「가득」이 아닐 때，위력이 강화（2배）된다．					공격	방어	16
악의소굴	변화	악			－	－	적진	±0	×	「설치」 기술．상대가 필드에 나왔을 때，상대를 「악인」 상태로 한다．	설치				－	－	16
악의유혹	변화	악			－	100	단일	±0	×	상대의 타입을 「악」으로 변경한다．		타입변경			－	－	16
악의파동	특수	악			80	100	단일	±0	×	「파동」 기술．「2할：풀죽음」	파동				특공	특방	16
암흑강타	물리	악			75	100	단일	±0	○	「펀치」 기술．반드시 급소에 맞는다．상대의 「방어/특방/회피」의 상승（강화）을 관통한다．	펀치	상승무시 확정급소			공격	방어	16
앙갚음	물리	악			－	100	단일	±0	○	상대로부터 받은 「물리」 대미지의 2배만큼 고정 대미지를 준다．		고정피해			－	－	16
야만의칼	물리	악			200	100	전체	±0	○	「칼/검」 기술．2T 동안 자신을 「난동부리기」 상태로 한다．	칼/검	난동부리기			공격	방어	16
야상곡	특수	악			100	90	전체	±0	×	「소리」 기술．「1할：특공－1」	소리				특공	특방	16
요격	변화	악			－	－	자신	±0	×	4～5T 동안 자신을 「요격」 상태로 한다．					－	－	16
이닦기	변화	악			－	－	자신	±0	×	「공격/C＋1」					－	－	16
이빌블래스트	특수	악			150	90	단일	±0	×	명중 후，다음 T 종료 후까지 자신을 「행동불능」 상태로 한다．		행동불능			특공	특방	16
잘게썰기	물리	악			25	100	단일	±0	○	「칼/검」 기술．2～5회 「연속」 기술．	칼/검	연속			공격	방어	16
종언의어둠	물리	악			150	100	전체	＋2	×	「필드에 나온 후 최초」가 아니면 실패한다．		최초			공격	방어	16
지옥찌르기	물리	악			80	100	단일	±0	○	명중 후，2T 동안 상대를 「침묵」 상태로 한다．					공격	방어	16
집단구타	물리	악			30	100	단일	±0	○	「연속」 기술．「빈사」 상태가 아닌 아군의 수와 같은 횟수까지 내보낼 수 있다．		연속			공격	방어	16
추억의선물	변화	악			－	100	단일	±0	×	자신을 「빈사」 상태로 하고， 상대의 「공격/특공－2」	자폭				－	－	16
카타스트로피	특수	악			－	90	단일	±0	×	상대에게 현재 HP의 1/2만큼 고정 대미지를 준다．					－	－	16
타오르는분노	특수	악			90	100	전체	±0	×	「2할：풀죽음」					특공	특방	16
탁쳐서떨구기（1P）	물리	악			65	100	단일	±0	○	「소지품 파괴」 기술．상대의 「소지품」을 파괴할 때，위력이 강화（1.5배）된다．		파괴			공격	방어	16
탁쳐서떨구기（2P）	물리	악			65	100	단일	±0	○	「소지품 파괴」 기술．상대의 「소지품」을 파괴할 때，위력이 강화（1.5배）된다．		파괴			공격	방어	16
트집	변화	악			－	100	단일	±0	×	상대를 「트집」 상태로 한다．					－	－	16
허세	특수	악			70	100	단일	－3	×	상대의 「방어」 기술을 관통한다．		방어관통			특공	특방	16
헤드샷	특수	악			50	100	단일	±0	×	「탄/볼」 기술．반드시 급소에 맞는다．	탄/볼	확정급소			특공	특방	16
혼내기（1P）	물리	악			80	100	단일	±0	○	상대의 「능력변화：＋」에 비례해 위력이 강화（＋20，최대 200）된다．					공격	방어	16
혼내기（2P）	물리	악			60	100	단일	±0	○	상대의 「능력변화：＋」에 비례해 위력이 강화（＋20，최대 200）된다．					공격	방어	16
휘저어할퀴기	물리	악			70	－	단일	－7	○	「강제교대」 기술．급소에 맞기 쉽다（C＋1）．		필중	강제교대		공격	방어	16
DD래리어트	물리	악			85	100	단일	±0	○	상대의 「방어/특방/회피」의 상승（강화）을 관통한다．		상승무시			공격	방어	16
강철날개	물리	강철			70	90	단일	±0	○	「1할：방어＋1」					공격	방어	17
강철도끼	물리	강철			150	80	단일	±0	○	준 대미지의 1/2만큼 반동 대미지를 받는다．		반동			공격	방어	17
강철엄니	물리	강철			65	95	단일	±0	○	「1할：풀죽음」「1할：공격＋ 1」					공격	방어	17
강철캐논	물리	강철			100	－	단일	－7	○	「탄/볼」 기술．기술을 내보내기 전에 「접촉」 기술을 받으면 상대를 「화상」 상태로 한다．	탄/볼	필중			공격	방어	17
개틀링슬래그	물리	강철			130	85	단일	±0	○	「3할：공격＋1」					공격	방어	17
거대해머	물리	강철			160	100	단일	±0	×	연속해서 내보내면 실패한다．					공격	방어	17
거수참	물리	강철			100	100	단일	±0	○	「칼/검」 기술．상대가 「다이맥스」 중일 때，위력이 강화（2배）된다．	칼/검				공격	방어	17
거수탄	물리	강철			100	100	단일	±0	○	상대가 「다이맥스」 중일 때，위력이 강화（2배）된다．					공격	방어	17
거인죽이기	물리	강철			200	100	단일	±0	○	적진의 「벽」을 해제한 후 기술을 내보낸다．		깨트리기			공격	방어	17
검으로방어	변화	강철			－	－	자신	＋3	×	「방어」 기술．상대의 「공격」 기술을 「방어」한다．연속해서 내보내면 실패하기 쉽다．「접촉」 기술을 무효화했을 때，자신의 「공격＋1」	방어				－	－	17
골드러시	특수	강철			120	100	전체	±0	×	명중 후，자신의 「특공－1」					특공	특방	17
금속음	변화	강철			－	85	단일	±0	×	「소리」 기술．「특방－2」	소리				－	－	17
기어소서	물리	강철			50	85	단일	±0	○	2회 「연속」 기술．		연속			공격	방어	17
기어체인지	변화	강철			－	－	자신	±0	×	「공격＋1」「속도＋2」					－	－	17
꼬챙이형	물리	강철			90	100	전체	±0	○	명중 후，2T 동안 상대를 「검은눈빛」 상태로 한다．		검은눈빛			공격	방어	17
네일건	물리	강철			30	100	단일	－3	○	2～5회 「연속」 기술．상대의 「방어」 기술을 관통한다．		방어관통 연속			공격	방어	17
녹슨바람	특수	강철			100	100	전체	±0	×	「소지품 파괴」 기술．		파괴			특공	특방	17
농성	변화	강철			－	－	자신	±0	×	「방어＋2」					－	－	17
더블펀처	물리	강철			60	100	단일	±0	○	「펀치」 기술．2회 「연속」 기술．「3할：풀죽음」	펀치	연속			공격	방어	17
되받아치기	물리	강철			70	100	단일	－7	○	기술을 내보내기 전에 상대의 공격을 받으면 반드시 급소에 맞는다．		확정급소			공격	방어	17
러스터캐논	특수	강철			80	100	단일	±0	×	「1할：특방－1」					특공	특방	17
로케트펀치	물리	강철			130	100	단일	±0	○	「펀치」 기술．「모으기」 기술．명중 후，자신의 「방어＋1」	펀치 모으기				공격	방어	17
마그넷봄	물리	강철			60	－	단일	±0	×	「탄/볼」 기술．	탄/볼	필중			공격	방어	17
마그넷웨이브	물리	강철			120	85	전체	±0	×	「4할：마비」					공격	방어	17
마그마어퍼	물리	강철			130	70	단일	±0	○	날씨가 「쾌청（큰가뭄）」일 때，상대의 「방어」 기술을 관통한다．		방어관통			공격	방어	17
메탈버스트	물리	강철			－	100	단일	±0	×	상대로부터 받은 대미지의 1．5배만큼 고정 대미지를 준다．		고정피해			공격	방어	17
메탈클로	물리	강철			50	95	단일	±0	○	「1할：공격＋1」					공격	방어	17
메테오드라이브	물리	강철			100	100	단일	±0	○	상대의 〔방호 특성〕을 관통한다．		특성관통			공격	방어	17
미러샷	특수	강철			65	85	단일	±0	×	「3할：명중－1」					특공	특방	17
바디퍼지	변화	강철			－	－	자신	±0	×	「속도＋2」					－	－	17
발칸포	물리	강철			15	100	단일	＋1	×	2～5회 「연속」 기술．		연속			공격	방어	17
베어들기	물리	강철			80	100	단일	±0	○	「칼/검」 기술．「10할：공격－1」	칼/검				공격	방어	17
불릿펀치	물리	강철			40	100	단일	＋1	○	「펀치」 기술．	펀치				공격	방어	17
비스켓해머	물리	강철			150	100	단일	－3	○	상대의 「방어」 기술을 관통한다．상대가 「방어」 기술을 내보내고 있지 않으면 실패한다．					공격	방어	17
사철의칼	물리	강철			70	100	단일	±0	○	「칼/검」 기술．상대가 「전기」 타입이거나 〔자력〕일 때，「효과가 굉장」해진다．	칼/검	상성변경			공격	방어	17
성스러운사슬	물리	강철			100	95	단일	±0	×	「5할：마비」					공격	방어	17
스마트혼	물리	강철			70	－	단일	±0	○	특수효과 없음．		필중			공격	방어	17
스틸소드	물리	강철			90	100	단일	±0	○	「칼/검」 기술．급소에 맞기 쉽다（C＋1）．	칼/검				공격	방어	17
실드차지	물리	강철			70	100	단일	－3	○	상대의 「방어」 기술을 관통한다．자신과 상대의 「방어」 능력치로 대미지를 계산한다．		방어관통 변칙계산			방어	방어	17
아이언랜스	물리	강철			130	100	단일	±0	×	「창」 기술．연속해서 내보내면 실패하기 쉽다．（「방어」 기술과 별도 판정．）	창				공격	방어	17
아이언롤러	물리	강철			130	100	단일	±0	○	전체 필드가 「필드」 상태가 아니면 실패한다．명중 후，전체 필드의 특수한 상태를 해제한다．		해제			공격	방어	17
아이언테일	물리	강철			100	75	단일	±0	○	「3할：방어－1」					공격	방어	17
아이언헤드	물리	강철			80	100	단일	±0	○	「3할：풀죽음」					공격	방어	17
앵커샷	물리	강철			80	100	단일	±0	○	명중 후，3T 동안 상대를 「검은눈빛」 상태로 한다．		검은눈빛			공격	방어	17
어시스트기어	변화	강철			－	－	자신	±0	×	「특성：플러스（마이너스）」인 아군의 「공격/특공＋1」					－	－	17
오니에게몽둥이	물리	강철			180	－	단일	－3	○	기술을 내보내기 전에 상대의 공격을 받으면 실패한다．		필중			공격	방어	17
운철	물리	강철			80	100	단일	＋2	○	연속해서 내보내면 실패하기 쉽다．（「방어」 기술과 별도 판정．）					공격	방어	17
은의빛	특수	강철			130	100	단일	±0	×	연속해서 내보내면 실패하기 쉽다．（「방어」 기술과 별도 판정．）					특공	특방	17
은의사슬	물리	강철			80	－	단일	±0	×	상대를 「조이기」 상태로 한다．		조이기 필중			공격	방어	17
자이로볼	물리	강철			120	100	단일	±0	○	「탄/볼」 기술．자신과 상대의 「속도」 능력치를 반전해 대미지를 계산한다．	탄/볼	변칙계산			속도	속도	17
중기관총	물리	강철			25	100	단일	±0	×	「탄/볼」 기술．2～5회 「연속」 기술．	탄/볼	연속			공격	방어	17
참철검	물리	강철			70	100	단일	±0	○	「칼/검」 기술．상대가 「강철」 타입일 때，「효과가 굉장」해진다．		상성변경			공격	방어	17
천의검	물리	강철			25	85	단일	＋3	○	2～5회 「연속」 기술．「필드에 나온 후 최초」가 아니면 실패한다．「10할：풀죽음」		연속 최초			공격	방어	17
철갑탄	물리	강철			150	90	단일	－3	×	「탄/볼」 기술．상대의 「방어」 기술을 관통한다．상대가 「방어」 기술을 내보내고 있지 않으면 실패한다．	탄/볼	방어관통			공격	방어	17
철벽	변화	강철			－	－	자신	±0	×	「방어＋2」					－	－	17
철제광선	특수	강철			140	95	단일	±0	×	HP의 1/2만큼 반동 대미지를 받는다．		반동			특공	특방	17
체인가드	변화	강철			－	－	자신	＋3	×	「방어」 기술．상대의 「공격」 기술을 「방어」한다．연속해서 내보내면 실패하기 쉽다．상대의 기술을 무효화했을 때，아군과 「임의교대」한다．	방어		유턴		－	－	17
칼날닳기	물리	강철			150	100	단일	－3	○	「칼/검」 기술．기술을 내보내기 전에 상대의 공격을 받으면 실패한다．	칼/검				공격	방어	17
칼로방어	변화	강철			－	－	자신	＋3	×	「방어」 기술．상대의 「공격」 기술을 「방어」한다．연속해서 내보내면 실패하기 쉽다．「접촉」 기술을 무효화했을 때，자신의 「공격＋1」	방어				－	－	17
코멧버스터	특수	강철			120	85	단일	±0	×	「3할：특공＋1」					특공	특방	17
코멧펀치	물리	강철			90	90	단일	±0	○	「펀치」 기술．「2할：공격＋1」	펀치				공격	방어	17
킹블레이드	물리	강철			80	－	단일	±0	○	「칼/검」 기술．자신과 상대의 「공격」 능력치로 대미지를 계산한다．	칼/검	변칙계산			공격	공격	17
킹실드	변화	강철			－	－	단일	＋4	×	「방어」 기술．상대의 「공격」 기술을 「방어」한다．연속해서 내보내면 실패하기 쉽다．「접촉」 기술을 무효화했을 때，상대의 「공격－2」	방어				－	－	17
탱크차지	물리	강철			120	100	단일	±0	×	명중 후，자신의 「방어/특방－1」					공격	방어	17
파멸의소원	특수	강철			140	100	단일	±0	×	「미래예지」 기술．상대를 「파멸의소원」 상태로 한다．	미래예지	방어관통			특공	특방	17
